  I     	  II     	  PW     	  PW'
-9.16	9.16	15.32	-132.25
-42.42	-2.75	14.79	-111.9
-61.34	0.61	14.34	-81.38
-62.56	-0.31	14.02	-30.52
-56.46	-15.87	13.9	15.26
-52.49	-38.45	13.96	55.95
-51.27	-53.41	14.18	66.12
-49.44	-53.41	14.45	61.04
-45.17	-44.56	14.69	35.61
-40.89	-36.93	14.83	0
-39.98	-36.01	14.83	-25.43
-42.42	-38.76	14.73	-40.69
-44.86	-41.2	14.57	-40.69
-43.95	-42.11	14.4	-10.17
-38.45	-43.64	14.36	25.43
-30.82	-48.22	14.47	71.21
-25.33	-56.15	14.75	106.82
-24.11	-64.39	15.18	137.33
-26.55	-70.5	15.73	137.33
-30.52	-72.94	16.28	111.9
-34.18	-72.02	16.72	76.3
-36.93	-69.89	17.03	25.43
-38.45	-68.97	17.13	-15.26
-38.76	-71.11	17.07	-40.69
-37.54	-77.51	16.91	-45.78
-36.62	-87.28	16.72	-25.43
-36.93	-98.27	16.62	15.26
-39.67	-107.73	16.68	61.04
-44.25	-114.14	16.93	101.73
-49.13	-117.49	17.33	132.25
-52.49	-118.71	17.86	137.33
-54.02	-119.63	18.41	116.99
-54.32	-120.54	18.88	91.56
-54.63	-120.85	19.25	45.78
-54.93	-119.63	19.43	0
-55.85	-116.88	19.43	-35.61
-57.37	-114.14	19.29	-55.95
-58.9	-112.61	19.06	-61.04
-60.42	-113.83	18.82	-50.86
-61.04	-117.8	18.62	-30.52
-59.81	-123.29	18.49	0
-56.15	-126.65	18.49	30.52
-50.66	-125.73	18.62	50.86
-44.56	-120.24	18.82	61.04
-37.84	-112.61	19.06	66.12
-31.43	-106.51	19.33	55.95
-26.25	-104.37	19.55	40.69
-23.19	-106.2	19.72	30.52
-22.58	-109.56	19.84	25.43
-23.5	-113.22	19.94	15.26
-24.72	-116.88	20	25.43
-23.8	-122.07	20.1	30.52
-19.84	-129.09	20.22	45.78
-13.73	-137.33	20.41	50.86
-7.02	-144.65	20.61	61.04
-0.61	-148.93	20.85	55.95
6.1	-149.54	21.08	55.95
14.34	-147.09	21.3	50.86
23.5	-143.13	21.51	40.69
31.43	-138.24	21.67	35.61
35.1	-131.53	21.81	25.43
32.65	-121.77	21.91	20.35
25.63	-109.25	21.99	20.35
18.62	-95.21	22.08	15.26
15.56	-81.79	22.14	20.35
18.01	-69.27	22.22	25.43
22.58	-57.68	22.32	30.52
25.33	-46.69	22.44	45.78
23.8	-36.01	22.62	61.04
18.92	-26.55	22.87	71.21
13.12	-17.7	23.15	81.38
7.63	-9.16	23.48	96.64
2.14	0	23.87	106.82
-4.27	8.85	24.29	116.99
-10.99	15.26	24.76	111.9
-17.09	18.31	25.21	111.9
-21.36	18.01	25.66	111.9
-23.8	16.78	26.1	106.82
-25.94	16.17	26.53	111.9
-28.69	15.56	26.98	111.9
-30.52	14.34	27.43	116.99
-30.21	11.29	27.89	122.07
-28.08	7.02	28.38	127.16
-26.86	3.36	28.89	122.07
-28.38	1.83	29.38	122.07
-32.35	3.97	29.87	111.9
-35.4	10.38	30.32	101.73
-35.1	18.31	30.72	86.47
-31.74	25.02	31.07	76.3
-28.08	27.47	31.37	66.12
-28.38	24.41	31.64	55.95
-32.35	18.62	31.86	50.86
-36.01	14.34	32.06	45.78
-35.4	14.04	32.25	50.86
-28.69	16.17	32.45	40.69
-19.53	17.09	32.61	40.69
-12.82	14.04	32.78	50.86
-12.21	7.63	32.98	61.04
-16.17	0.92	33.22	91.56
-20.14	-3.66	33.59	116.99
-21.06	-6.71	34.06	137.33
-19.53	-8.54	34.61	157.68
-17.4	-10.68	35.24	162.77
-15.87	-12.51	35.89	147.51
-13.12	-11.9	36.48	127.16
-7.93	-7.63	36.99	101.73
-2.14	-1.53	37.4	61.04
0	3.97	37.64	30.52
-3.66	6.71	37.76	5.09
-11.29	7.02	 37.78(V)	-20.35
-18.01	7.02	37.7	-30.52
-19.53	8.85	37.58	-45.78
-15.56	12.21	37.4	-40.69
-10.07	15.26	37.23	-40.69
-7.32	15.56	37.07	-35.61
-8.24	12.82	36.93	-35.61
-10.99	8.85	36.79	-30.52
-13.73	6.1	36.66	-30.52
-15.87	5.19	36.54	-35.61
-18.92	4.27	36.4	-40.69
-23.19	2.14	36.24	-45.78
-27.16	-1.53	36.05	-61.04
-29.3	-6.1	35.81	-71.21
-28.69	-10.99	35.52	-86.47
-26.86	-16.78	35.18	-96.64
-26.86	-23.8	34.79	-111.9
-28.69	-30.52	34.34	-127.16
-31.43	-33.26	33.84	-137.33
-33.57	-29.91	33.29	-142.42
-33.87	-20.75	32.72	-152.59
-32.35	-10.38	32.11	-157.68
-29.91	-3.05	31.47	-147.51
-28.08	-1.22	30.88	-142.42
-26.55	-3.36	30.32	-127.16
-25.02	-6.71	29.81	-111.9
-23.5	-9.77	29.36	-96.64
-21.06	-12.51	28.97	-86.47
-17.4	-14.65	28.63	-76.3
-13.12	-16.17	28.32	-66.12
-8.85	-16.48	28.06	-61.04
-7.02	-16.48	27.81	-61.04
-7.93	-16.48	27.57	-55.95
-10.38	-16.78	27.34	-66.12
-13.12	-16.78	27.08	-66.12
-15.26	-14.34	26.82	-81.38
-16.17	-8.54	26.49	-91.56
-15.87	0	26.12	-106.82
-14.65	8.85	25.7	-111.9
-13.12	15.56	25.25	-122.07
-12.21	17.7	24.76	-122.07
-11.9	15.56	24.27	-116.99
-13.43	10.99	23.8	-111.9
-14.95	7.32	23.36	-101.73
-16.78	6.71	22.95	-91.56
-18.92	9.16	22.58	-76.3
-21.97	11.29	22.28	-55.95
-26.25	10.07	22.05	-35.61
-29.6	3.66	21.91	-5.09
-31.74	-5.8	21.89	20.35
-32.35	-14.04	21.97	40.69
-33.26	-18.62	22.14	50.86
-36.32	-18.62	22.34	55.95
-40.59	-16.17	22.56	35.61
-44.25	-14.04	22.71	5.09
-46.08	-14.34	22.73	-25.43
-45.78	-16.17	22.62	-61.04
-43.64	-18.62	22.38	-91.56
-40.89	-19.84	22.01	-106.82
-37.84	-20.14	21.59	-116.99
-33.87	-20.14	21.12	-111.9
-28.99	-20.14	20.67	-106.82
-23.8	-20.14	20.24	-91.56
-19.84	-17.7	19.88	-71.21
-18.62	-11.6	19.59	-45.78
-19.53	-2.44	19.41	-25.43
-21.67	7.93	19.31	-15.26
-21.97	17.4	19.25	-15.26
-20.14	22.89	19.19	-10.17
-15.26	23.5	19.15	-15.26
-9.16	21.06	19.08	-15.26
-3.05	18.31	19.02	-5.09
0.92	17.09	19	0
2.14	16.48	19	10.17
-0.31	14.65	19.04	30.52
-5.19	10.07	19.17	35.61
-9.77	3.97	19.31	40.69
-12.21	0.31	19.47	40.69
-10.99	1.22	19.63	25.43
-7.63	5.49	19.74	10.17
-4.58	10.38	19.78	-10.17
-3.97	11.9	19.74	-20.35
-5.49	10.07	19.65	-35.61
-6.41	7.02	19.51	-30.52
-4.58	4.88	19.39	-30.52
-0.31	4.88	19.27	-15.26
2.14	6.1	19.21	5.09
-0.31	6.71	19.23	10.17
-8.24	7.02	19.27	15.26
-17.7	6.71	19.33	15.26
-23.19	7.02	19.39	0
-23.5	7.63	19.39	-5.09
-20.14	8.54	19.37	-20.35
-17.4	9.46	19.29	-35.61
-16.78	10.38	19.15	-35.61
-18.62	10.68	19	-40.69
-21.36	9.46	18.84	-30.52
-25.02	6.41	18.72	-20.35
-28.99	1.83	18.64	-5.09
-32.65	-2.44	18.62	-5.09
-33.57	-5.8	18.6	10.17
-31.74	-8.85	18.64	15.26
-27.77	-13.43	18.7	15.26
-24.11	-20.45	18.76	25.43
-21.36	-27.16	18.86	30.52
-20.45	-30.52	18.98	35.61
-20.14	-26.86	19.13	35.61
-20.14	-17.09	19.27	35.61
-20.45	-4.27	19.41	25.43
-21.36	6.1	19.51	20.35
-22.58	10.99	19.59	0
-24.41	9.46	19.59	-15.26
-26.55	2.75	19.53	-25.43
-27.47	-5.8	19.43	-35.61
-26.86	-13.73	19.29	-35.61
-24.41	-18.92	19.15	-30.52
-20.45	-21.06	19.02	-20.35
-17.4	-20.14	18.94	-5.09
-15.87	-17.4	18.92	15.26
-15.26	-14.34	18.98	25.43
-14.34	-12.51	19.08	35.61
-13.12	-11.29	19.23	30.52
-10.07	-9.77	19.35	30.52
-4.58	-7.63	19.47	20.35
3.05	-2.75	19.55	5.09
13.43	7.93	19.57	5.09
28.08	31.13	19.59	0
53.1	77.51	19.59	-5.09
97.66	158.39	19.57	5.09
169.98	280.46	19.59	5.09
269.17	436.71	19.61	5.09
375.06	599.67	19.63	10.17
451.36	726.93	19.67	10.17
464.78	776.67(R)	19.72	5.09
406.8	732.12	19.74	0
300.9	614.93	19.74	-5.09
190.73	469.97	19.72	-5.09
113.53	338.13	19.69	-5.09
76.29	237.43	19.67	0
60.12	162.05	19.67	0
40.89	101.01	19.67	10.17
10.68	51.88	19.72	10.17
-20.75	18.62	19.76	5.09
-40.89	-1.83	19.78	5.09
-45.47	-19.23	19.8	-10.17
-40.28	-42.72	19.76	-20.35
-34.48	-72.94	19.67	-45.78
-32.65	-98.88	19.49	-66.12
-34.48	-109.56	19.23	-81.38
-36.93	-101.32	18.9	-86.47
-38.76	-81.48	18.56	-81.38
-38.76	-61.65	18.23	-55.95
-37.84	-50.96	18.01	-25.43
-37.23	-51.88	17.9(A)	10.17
-38.15	-60.42	17.94	55.95
-40.59	-70.5	18.17	86.47
-42.11	-77.21	18.51	122.07
-41.5	-80.57	19	137.33
-39.37	-83.31	19.55	147.51
-39.37	-87.28	20.14	142.42
-42.42	-92.16	20.71	127.16
-47.91	-96.13	21.22	96.64
-53.1	-97.66	21.61	55.95
-55.85	-96.74	21.83	20.35
-55.85	-94.91	21.91	-15.26
-54.32	-93.69	21.85	-40.69
-52.49	-92.77	21.69	-50.86
-50.96	-91.86	21.49	-50.86
-49.44	-90.33	21.28	-35.61
-47.3	-89.42	21.14	-15.26
-44.86	-89.11	21.08	10.17
-42.72	-89.72	21.12	35.61
-40.89	-90.64	21.26	45.78
-39.37	-90.94	21.44	50.86
-39.37	-90.94	21.65	50.86
-40.89	-90.64	21.85	40.69
-44.25	-90.94	22.01	30.52
-47.61	-91.86	22.14	15.26
-49.13	-93.38	22.2	5.09
-47.61	-94.3	22.22	0
-44.25	-94.91	22.22	5.09
-41.5	-95.52	22.24	5.09
-41.2	-97.35	22.26	10.17
-43.64	-101.62	22.3	20.35
-47.3	-108.64	22.38	20.35
-49.74	-116.27	22.46	25.43
-49.74	-122.68	22.56	20.35
-47.3	-127.26	22.64	15.26
-41.81	-130.92	22.71	5.09
-35.1	-136.41	22.73	10.17
-28.99	-143.43	22.77	0
-25.33	-149.23	22.77	10.17
-25.02	-149.84	22.81	15.26
-26.55	-143.43	22.87	25.43
-27.77	-130.92	22.97	35.61
-26.86	-119.02	23.11	45.78
-24.11	-113.83	23.3	55.95
-21.06	-117.49	23.52	61.04
-18.62	-126.65	23.76	61.04
-15.56	-134.58	24.01	61.04
-10.07	-137.33	24.25	45.78
-3.05	-134.28	24.44	40.69
3.05	-128.78	24.6	35.61
5.19	-122.99	24.74	25.43
2.75	-115.97	24.84	20.35
-1.22	-106.2	24.92	20.35
-3.36	-92.47	25	20.35
-1.83	-75.38	25.09	25.43
2.44	-57.68	25.19	30.52
7.02	-42.72	25.31	35.61
11.29	-31.74	25.45	50.86
15.26	-24.41	25.66	55.95
18.92	-18.31	25.88	61.04
20.75	-11.29	26.12	66.12
20.45	-2.75	26.39	66.12
16.78	6.41	26.65	71.21
11.9	14.65	26.94	71.21
7.02	19.84	27.22	66.12
4.27	20.75	27.49	71.21
3.05	17.7	27.77	66.12
2.75	12.51	28.04	71.21
2.14	7.63	28.32	81.38
1.83	5.49	28.65	86.47
1.53	6.41	28.99	101.73
1.53	8.54	29.4	111.9
1.22	9.46	29.85	122.07
-0.61	7.02	30.34	122.07
-4.88	1.83	30.82	127.16
-10.68	-3.97	31.33	106.82
-16.17	-8.24	31.76	91.56
-19.23	-10.38	32.13	55.95
-18.31	-11.6	32.35	10.17
-15.56	-12.82	32.39	-25.43
-14.04	-15.87	32.29	-45.78
-15.87	-18.62	32.11	-45.78
-20.45	-17.4	31.92	-15.26
-24.72	-9.77	31.86	25.43
-24.72	3.36	31.96	86.47
-19.53	15.87	32.31	132.25
-10.99	21.97	32.84	172.94
-3.66	19.84	33.53	188.2
-0.61	12.82	34.28	172.94
-1.83	6.1	34.97	142.42
-4.58	3.36	35.54	96.64
-7.02	4.58	35.93	55.95
-7.93	7.02	36.15	10.17
-7.63	8.85	36.2	-15.26
-7.02	9.77	36.13	-25.43
-5.8	9.46	36.03	-25.43
-4.88	8.54	35.93	-5.09
-4.58	6.41	35.91	5.09
-4.27	3.36	35.93	30.52
-3.36	0	36.05	35.61
-1.83	-3.36	36.2	45.78
0.92	-6.1	36.38	40.69
3.66	-9.16	36.54	25.43
4.27	-12.51	36.64	15.26
2.14	-15.56	 36.70(V)	-5.09
-2.14	-18.01	36.68	-20.35
-6.41	-18.92	36.6	-35.61
-7.63	-17.7	36.46	-45.78
-5.49	-16.17	36.28	-50.86
-2.14	-15.26	36.07	-61.04
-1.83	-17.09	35.83	-66.12
-7.02	-20.45	35.56	-71.21
-16.78	-24.41	35.28	-71.21
-26.25	-27.47	34.99	-76.3
-31.74	-28.99	34.69	-86.47
-32.35	-29.91	34.34	-86.47
-29.6	-31.43	34	-91.56
-26.25	-32.96	33.63	-96.64
-24.11	-33.26	33.25	-96.64
-23.8	-33.57	32.86	-96.64
-24.11	-34.79	32.47	-101.73
-24.41	-38.45	32.06	-96.64
-23.8	-43.95	31.68	-96.64
-22.89	-47.91	31.29	-91.56
-22.89	-46.08	30.93	-96.64
-24.41	-36.93	30.54	-91.56
-26.55	-22.89	30.17	-91.56
-27.47	-9.16	29.81	-96.64
-25.94	-0.92	29.42	-96.64
-22.58	0.31	29.03	-101.73
-20.14	-2.75	28.63	-96.64
-20.14	-5.8	28.24	-101.73
-21.97	-5.49	27.83	-96.64
-23.8	-3.36	27.45	-96.64
-24.72	-2.14	27.06	-86.47
-25.02	-4.27	26.71	-91.56
-25.33	-8.54	26.35	-81.38
-24.72	-11.29	26.02	-76.3
-22.58	-10.68	25.72	-71.21
-18.31	-7.32	25.43	-71.21
-13.43	-4.88	25.15	-66.12
-10.07	-6.71	24.88	-61.04
-10.07	-12.21	24.64	-55.95
-12.82	-19.84	24.41	-55.95
-16.78	-25.94	24.19	-55.95
-20.45	-28.99	23.97	-50.86
-22.28	-28.99	23.76	-55.95
-22.28	-26.86	23.54	-50.86
-20.75	-24.11	23.34	-61.04
-18.92	-21.67	23.09	-55.95
-17.7	-21.06	22.87	-61.04
-17.4	-21.97	22.62	-61.04
-18.01	-25.02	22.38	-66.12
-19.84	-29.3	22.12	-66.12
-22.58	-33.26	21.85	-66.12
-25.02	-36.62	21.59	-66.12
-26.55	-38.15	21.32	-61.04
-25.94	-38.76	21.08	-66.12
-23.19	-39.37	20.81	-61.04
-19.84	-40.89	20.57	-50.86
-17.7	-42.42	20.37	-45.78
-17.4	-42.42	20.18	-40.69
-19.23	-39.98	20.02	-25.43
-22.58	-36.62	19.92	-25.43
-25.94	-36.01	19.82	-10.17
-27.47	-39.67	19.78	-10.17
-25.94	-46.08	19.74	-5.09
-21.97	-49.44	19.72	-5.09
-18.62	-46.39	19.69	0
-17.7	-35.4	19.69	-5.09
-18.92	-20.45	19.67	-5.09
-20.14	-5.8	19.65	-5.09
-20.45	4.58	19.63	-10.17
-19.23	10.68	19.59	-10.17
-18.01	14.04	19.55	-15.26
-16.17	16.78	19.49	-15.26
-14.65	19.84	19.43	-20.35
-13.73	21.97	19.35	-20.35
-14.34	22.28	19.27	-20.35
-16.48	21.06	19.19	-25.43
-18.62	18.62	19.08	-20.35
-18.62	16.48	19	-25.43
-15.87	14.04	18.9	-20.35
-10.68	10.99	18.82	-15.26
-4.58	7.02	18.76	-15.26
0.61	3.36	18.7	-20.35
3.97	0.92	18.62	-10.17
3.97	-0.61	18.58	-15.26
0.92	-2.44	18.51	-10.17
-3.66	-5.49	18.47	-10.17
-6.41	-8.85	18.43	-5.09
-6.41	-11.6	18.41	0
-3.97	-12.82	18.41	0
-1.22	-12.21	18.41	10.17
-0.31	-10.68	18.45	10.17
-1.83	-8.24	18.49	10.17
-3.97	-6.41	18.54	15.26
-3.36	-7.63	18.6	10.17
2.75	-12.51	18.64	15.26
14.65	-16.78	18.7	5.09
31.74	-10.68	18.72	10.17
53.71	17.7	18.76	10.17
87.28	79.65	18.8	10.17
141.91	180.97	18.84	5.09
224.3	319.21	18.86	5.09
326.54	475.46	18.88	0
419.01	614.32	18.88	-5.09
462.34	693.66(R)	18.86	-15.26
432.74	684.51	18.8	-15.26
339.66	593.57	18.74	-25.43
222.17	459.59	18.64	-25.43
126.65	328.98	18.54	-25.43
75.68	229.8	18.43	-20.35
58.59	162.96	18.35	-20.35
46.39	114.14	18.27	-15.26
21.36	73.85	18.21	-10.17
-12.51	43.03	18.17	-5.09
-40.89	24.11	18.15	-5.09
-52.49	13.43	18.13	-5.09
-50.66	3.05	18.11	0
-45.47	-10.38	18.11	-10.17
-43.64	-24.11	18.07	-10.17
-45.17	-33.87	18.03	-15.26
-46.39	-38.76	17.97	-30.52
-45.78	-42.11	17.84	-35.61
-44.25	-47	17.7	-45.78
-42.42	-52.8	17.52	-45.78
-39.98	-57.98	17.33	-45.78
-38.15	-61.04	17.15	-35.61
-38.15	-64.09	17.01	-15.26
-40.89	-67.75	16.95(A)	10.17
-46.69	-72.33	16.99	35.61
-53.1	-77.51	17.13	61.04
-57.07	-82.7	17.38	86.47
-57.68	-87.59	17.72	96.64
-54.93	-92.47	18.11	116.99
-50.96	-97.05	18.58	122.07
-47.91	-100.71	19.06	122.07
-47.61	-102.54	19.55	111.9
-49.44	-102.84	20	91.56
-52.19	-101.93	20.37	61.04
-54.93	-101.32	20.61	25.43
-57.37	-102.54	20.71	-10.17
-60.12	-106.2	20.67	-35.61
-63.48	-112	20.53	-45.78
-66.83	-117.19	20.35	-40.69
-68.97	-120.54	20.18	-25.43
-69.89	-121.15	20.08	5.09
-70.8	-120.24	20.1	25.43
-72.63	-120.24	20.2	50.86
-73.85	-121.46	20.41	61.04
-72.94	-123.9	20.65	66.12
-70.19	-125.73	20.92	50.86
-65.92	-126.04	21.12	30.52
-61.04	-123.6	21.24	5.09
-56.46	-119.02	21.26	-20.35
-51.57	-112.3	21.18	-45.78
-46.39	-104.98	21	-50.86
-41.2	-99.18	20.79	-50.86
-37.84	-96.13	20.59	-35.61
-36.32	-96.13	20.45	-20.35
-35.71	-98.88	20.37	0
-35.1	-102.84	20.37	15.26
-33.26	-108.34	20.43	35.61
-30.21	-114.14	20.57	35.61
-26.55	-119.63	20.71	30.52
-23.5	-124.82	20.83	20.35
-21.06	-129.09	20.92	10.17
-18.31	-133.97	20.96	-10.17
-13.73	-138.55	20.92	-15.26
-8.24	-142.52	20.85	-25.43
-2.14	-144.04	20.75	-20.35
2.44	-142.52	20.67	-15.26
5.49	-139.16	20.61	5.09
7.63	-135.5	20.63	15.26
9.46	-132.14	20.69	35.61
11.6	-129.09	20.83	45.78
13.43	-125.43	21.02	50.86
14.34	-120.54	21.22	55.95
14.95	-113.83	21.44	50.86
14.95	-104.68	21.65	45.78
13.73	-91.86	21.83	30.52
10.99	-75.68	21.95	25.43
6.71	-57.98	22.05	15.26
1.22	-42.11	22.12	15.26
-4.27	-30.21	22.18	15.26
-9.16	-21.97	22.24	20.35
-12.51	-14.95	22.32	30.52
-14.34	-7.32	22.44	45.78
-14.95	0.92	22.62	50.86
-15.56	8.54	22.83	66.12
-17.7	13.73	23.09	71.21
-21.67	17.4	23.38	71.21
-26.86	19.53	23.66	76.3
-31.43	20.75	23.97	81.38
-33.26	19.53	24.29	71.21
-32.04	16.48	24.58	76.3
-28.69	12.21	24.88	76.3
-24.72	9.77	25.19	71.21
-20.14	10.68	25.47	71.21
-16.48	15.56	25.76	71.21
-14.65	22.28	26.04	66.12
-14.65	27.47	26.31	61.04
-16.48	28.08	26.55	45.78
-18.92	22.28	26.73	35.61
-20.14	11.29	26.88	20.35
-19.23	-0.92	26.96	5.09
-16.78	-10.38	26.98	0
-13.43	-14.34	26.98	10.17
-9.46	-14.04	27.02	35.61
-5.8	-11.29	27.16	61.04
-3.66	-7.63	27.41	96.64
-3.36	-3.97	27.79	122.07
-5.49	0	28.28	137.33
-7.02	4.58	28.83	137.33
-6.1	9.46	29.38	122.07
-2.14	14.04	29.87	96.64
2.44	18.01	30.25	71.21
4.58	20.14	30.54	45.78
3.97	20.45	30.72	20.35
2.14	19.23	30.8	15.26
2.14	17.7	30.86	15.26
5.19	16.48	30.93	20.35
8.54	17.09	31.01	35.61
8.24	18.62	31.15	45.78
2.44	20.45	31.33	50.86
-6.1	21.97	31.54	50.86
-14.04	21.97	31.74	50.86
-18.62	20.75	31.94	35.61
-18.92	19.53	32.09	25.43
-17.7	19.84	32.19	5.09
-17.4	21.36	 32.21(V)	-10.17
-18.62	23.5	32.17	-30.52
-20.45	24.41	32.04	-40.69
-22.58	23.8	31.88	-61.04
-24.41	21.36	31.64	-66.12
-26.25	18.62	31.37	-76.3
-27.47	17.09	31.07	-81.38
-28.99	16.48	30.74	-81.38
-29.91	15.87	30.42	-86.47
-30.82	15.87	30.07	-81.38
-31.13	17.4	29.75	-81.38
-30.52	22.89	29.42	-71.21
-28.08	31.13	29.14	-66.12
-24.72	38.76	28.87	-61.04
-21.36	41.81	28.63	-55.95
-19.84	39.06	28.4	-55.95
-20.14	31.13	28.18	-61.04
-21.06	21.97	27.93	-61.04
-20.14	13.12	27.69	-66.12
-16.78	5.49	27.43	-71.21
-11.9	-2.44	27.14	-81.38
-7.32	-10.99	26.82	-86.47
-4.88	-19.53	26.47	-96.64
-3.66	-27.16	26.08	-96.64
-3.05	-32.65	25.7	-96.64
-1.83	-36.62	25.31	-101.73
0	-37.54	24.9	-96.64
2.14	-35.4	24.52	-96.64
4.88	-30.21	24.13	-96.64
7.02	-23.5	23.74	-96.64
8.24	-18.01	23.36	-91.56
7.02	-14.95	22.99	-91.56
4.27	-13.73	22.62	-86.47
3.05	-11.9	22.28	-86.47
5.8	-9.16	21.93	-81.38
14.04	-6.71	21.61	-81.38
25.33	-3.97	21.28	-76.3
39.06	4.88	20.98	-71.21
58.59	33.57	20.69	-66.12
94.3	99.79	20.43	-61.04
157.17	214.84	20.18	-61.04
249.33	375.67	19.94	-55.95
356.45	555.73	19.72	-61.04
